Periode;GUADELOUPE;MARTINIQUE;GUYANE;LA REUNION;ILE-DE-FRANCE;CENTRE-VAL DE LOIRE;BOURGOGNE FRANCHE-COMTE;NORMANDIE;HAUTS-DE-FRANCE;GRAND-EST;PAYS DE LA LOIRE;BRETAGNE;NOUVELLE-AQUITAINE;OCCITANIE;AUVERGNE RHONE-ALPES;PROVENCE-ALPES-COTE D'AZUR;CORSE; FRANCE METROPOLITAINE ; France 
2004T2;48 390;42 280;13 760;103 060;747 460;141 820;155 200;210 690;408 780;303 500;198 580;169 500;336 770;356 350;413 380;313 570;13 540; 3 769 200   ; 3 976 700   
2004T3;49 140;43 150;14 380;102 650;757 840;144 410;157 380;213 880;413 470;309 680;202 060;170 960;340 240;360 130;416 640;318 430;13 850; 3 819 000   ; 4 028 300   
2004T4;49 700;43 480;14 660;102 360;764 360;146 990;158 830;215 920;417 930;315 270;204 170;171 980;344 840;363 340;418 180;322 340;13 820; 3 858 000   ; 4 068 200   
2005T1;49 900;43 300;14 940;102 950;765 810;148 380;160 080;216 480;421 010;317 810;206 280;173 430;348 260;366 200;417 150;323 540;13 810; 3 878 200   ; 4 089 300   
2005T2;50 010;42 670;14 810;100 940;760 190;148 020;160 900;217 020;423 150;318 700;207 500;175 350;348 920;367 680;417 120;324 490;14 000; 3 883 000   ; 4 091 500   
2005T3;50 070;42 790;15 200;99 350;745 660;145 340;160 630;214 420;423 240;316 960;205 420;174 130;347 010;365 020;410 210;322 690;13 590; 3 844 300   ; 4 051 700   
2005T4;50 340;42 770;14 810;98 800;727 050;142 330;157 100;209 120;417 870;312 960;202 830;171 480;339 250;358 470;401 380;314 410;13 060; 3 767 300   ; 3 974 000   
2006T1;49 860;42 470;14 670;98 030;704 590;140 130;155 070;202 500;410 600;309 020;199 900;168 960;330 730;351 760;392 030;308 640;12 870; 3 686 800   ; 3 891 800   
2006T2;49 390;42 350;14 410;94 100;680 440;136 010;151 500;196 360;400 180;302 690;194 840;163 500;320 060;343 080;379 430;301 370;12 600; 3 582 100   ; 3 782 300   
2006T3;49 620;42 410;14 080;92 710;659 970;132 340;147 640;191 550;390 240;292 950;190 540;159 420;312 120;334 880;369 890;294 150;12 380; 3 488 100   ; 3 686 900   
